,FF,U-3,CPI_%_Change,M2_%_Change,GDP_%_Change
2021-12-01,0.08,3.9,7.19,12.74,5.72
2022-01-01,0.08,4.0,7.6,11.39,3.68
2022-02-01,0.08,3.8,7.95,10.05,3.68
2022-03-01,0.18,3.6,8.52,9.36,3.68
2022-04-01,0.33,3.6,8.23,7.76,1.8
2022-05-01,0.71,3.6,8.5,6.04,1.8
2022-06-01,1.13,3.6,8.93,5.65,1.8
2022-07-01,1.58,3.5,8.41,5.03,1.94
2022-08-01,2.33,3.7,8.23,3.89,1.94
2022-09-01,2.52,3.5,8.21,2.67,1.94
2022-10-01,3.08,3.7,7.76,1.5,0.88
2022-11-01,3.68,3.6,7.14,0.39,0.88
2022-12-01,4.08,3.5,6.44,-0.89,0.88
2023-01-01,4.33,3.4,6.35,-1.62,1.8
2023-02-01,4.52,3.6,5.99,-2.29,1.8
2023-03-01,4.63,3.5,4.99,-3.95,1.8
2023-04-01,4.83,3.4,4.96,-4.62,1.8
2023-05-01,5.03,3.7,4.13,-3.97,1.8
